Sum of runs_off_bat,Column Labels,,,,,,,,,,,,,
Player,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Bipul Sharma,0,0,9,32,104,104,104,105,156,187,187,187,187,187
BJ Haddin,0,0,0,18,18,18,18,18,18,18,18,18,18,18
BJ Hodge,12,377,476,761,1006,1299,1400,1400,1400,1400,1400,1400,1400,1400
BJ Rohrer,0,0,0,0,0,193,193,193,193,193,193,193,193,193
BMAJ Mendis,0,0,0,0,0,23,23,23,23,23,23,23,23,23
BR Dunk,0,0,0,0,0,0,40,40,40,40,40,40,40,40
C de Grandhomme,0,0,0,0,0,0,0,0,0,126,257,303,303,303
C Madan,0,0,15,15,15,15,15,15,15,15,15,15,15,15
C Munro,0,0,0,0,0,0,0,0,30,30,93,177,177,177
C Nanda,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C Sakariya,0,0,0,0,0,0,0,0,0,0,0,0,0,16
CA Ingram,0,0,0,21,21,21,21,21,21,21,21,205,205,205
CA Lynn,0,0,0,0,6,6,64,64,89,384,875,1280,1280,1329
CA Pujara,0,0,122,156,173,265,390,390,390,390,390,390,390,390
CH Gayle,0,184,476,1084,1817,2537,2733,3224,3451,3651,4019,4509,4804,4997
CH Morris,0,0,0,0,0,14,14,90,285,439,485,517,551,618
CJ Anderson,0,0,0,0,0,0,265,379,379,521,538,538,538,538
CJ Ferguson,0,0,0,48,98,98,98,98,98,98,98,98,98,98
CJ Jordan,0,0,0,0,0,0,0,0,3,3,3,3,32,64
CJ McKay,0,0,0,0,8,8,8,8,8,8,8,8,8,8
CK Kapugedera,16,16,16,16,16,16,16,16,16,16,16,16,16,16
CK Langeveldt,0,0,0,8,8,8,8,8,8,8,8,8,8,8
CL White,114,114,162,266,745,971,971,971,971,971,971,971,971,971
CM Gautam,0,0,0,0,0,44,165,169,169,169,169,169,169,169
CR Brathwaite,0,0,0,0,0,0,0,0,83,95,170,181,181,181
CR Woakes,0,0,0,0,0,0,0,0,0,46,63,63,63,78
CRD Fernando,2,2,4,4,4,4,4,4,4,4,4,4,4,4
CV Varun,0,0,0,0,0,0,0,0,0,0,0,0,10,12
D du Preez,0,10,10,10,10,10,10,10,10,10,10,10,10,10
D Kalyankrishna,3,3,3,3,3,3,3,3,3,3,3,3,3,3
D Padikkal,0,0,0,0,0,0,0,0,0,0,0,0,473,884
D Salunkhe,33,33,33,33,33,33,33,33,33,33,33,33,33,33
D Wiese,0,0,0,0,0,0,0,122,127,127,127,127,127,127
DA Miller,0,0,0,0,98,516,962,1319,1480,1563,1637,1850,1850,1974
DA Warner,0,163,445,769,1025,1435,1963,2525,3373,4014,4014,4706,5254,5451
DAJ Bracewell,0,0,0,0,12,12,12,12,12,12,12,12,12,12
DB Das,103,103,103,103,229,304,304,304,304,304,304,304,304,304
DB Ravi Teja,109,174,174,357,361,375,375,375,375,375,375,375,375,375
DE Bollinger,0,0,18,18,21,21,21,21,21,21,21,21,21,21
DH Yagnik,0,0,0,16,41,166,170,170,170,170,170,170,170,170
DJ Bravo,178,396,457,468,839,960,968,1163,1262,1262,1403,1483,1490,1537
DJ Harris,0,0,0,0,111,111,111,111,111,111,111,111,111,111
DJ Hooda,0,0,0,0,0,0,0,151,295,373,460,524,626,786
DJ Hussey,319,417,511,575,971,1206,1322,1322,1322,1322,1322,1322,1322,1322
DJ Jacobs,0,0,0,92,92,92,92,92,92,92,92,92,92,92
DJ Malan,0,0,0,0,0,0,0,0,0,0,0,0,0,26
DJ Muthuswami,0,0,0,0,0,0,0,1,1,1,1,1,1,1
DJ Thornely,39,39,39,39,39,39,39,39,39,39,39,39,39,39
DJG Sammy,0,0,0,0,0,174,282,295,295,295,295,295,295,295
DJM Short,0,0,0,0,0,0,0,0,0,0,115,115,115,115
DL Chahar,0,0,0,0,0,0,0,0,0,14,64,71,78,79
DL Vettori,0,34,67,90,121,121,121,121,121,121,121,121,121,121
DM Bravo,0,0,0,0,0,0,0,0,0,6,6,6,6,6
DNT Zoysa,11,11,11,11,11,11,11,11,11,11,11,11,11,11
DP Nannes,0,0,4,4,4,4,4,4,4,4,4,4,4,4
DP Vijaykumar,1,1,1,1,1,1,1,1,1,1,1,1,1,1
DPMD Jayawardene,179,398,843,1142,1477,1808,1808,1808,1808,1808,1808,1808,1808,1808
DR Martyn,0,0,19,19,19,19,19,19,19,19,19,19,19,19
DR Sams,0,0,0,0,0,0,0,0,0,0,0,0,0,6
DR Shorey,0,0,0,0,0,0,0,0,0,0,8,13,13,13
DR Smith,45,260,282,282,439,857,1423,1822,2146,2385,2385,2385,2385,2385
DS Kulkarni,2,11,11,13,23,23,58,62,89,90,96,101,104,104
DS Lehmann,18,18,18,18,18,18,18,18,18,18,18,18,18,18
DT Christian,0,0,0,190,335,341,341,341,341,420,446,446,446,460
DT Patil,13,13,13,13,13,13,13,13,13,13,13,13,13,13
DW Steyn,2,2,15,51,70,123,145,165,166,166,166,166,167,167
E Lewis,0,0,0,0,0,0,0,0,0,0,382,430,430,581
EJG Morgan,0,0,35,172,172,479,479,666,789,854,854,854,1273,1406
ER Dwivedi,0,0,0,0,0,0,0,0,24,24,24,24,24,24
F Behardien,0,0,0,0,0,0,0,0,14,14,14,14,14,14
F du Plessis,0,0,0,0,398,398,701,1081,1287,1295,1457,1853,2302,2935
FA Allen,0,0,0,0,0,0,0,0,0,0,0,0,0,6
FH Edwards,0,4,4,4,4,4,4,4,4,4,4,4,4,4
FY Fazal,0,0,164,183,183,183,183,183,183,183,183,183,183,183
G Gambhir,534,820,1097,1475,2065,2471,2806,3133,3634,4132,4217,4217,4217,4217
GB Hogg,0,0,0,0,15,15,15,22,22,22,22,22,22,22
GC Smith,441,653,697,739,739,739,739,739,739,739,739,739,739,739
GC Viljoen,0,0,0,0,0,0,0,0,0,0,0,3,3,3
GD McGrath,4,4,4,4,4,4,4,4,4,4,4,4,4,4
GD Phillips,0,0,0,0,0,0,0,0,0,0,0,0,0,26
GH Vihari,0,0,0,0,0,241,241,280,280,280,280,284,284,284
GHS Garton,0,0,0,0,0,0,0,0,0,0,0,0,0,2
GJ Bailey,0,45,63,63,63,63,320,579,663,663,663,663,663,663
GJ Maxwell,0,0,0,0,6,42,594,740,919,1229,1398,1398,1506,2019
GR Napier,0,15,15,15,15,15,15,15,15,15,15,15,15,15
Gurkeerat Singh,0,0,0,0,86,194,194,229,342,342,342,440,511,511
H Das,2,2,2,2,2,2,2,2,2,2,2,2,2,2
H Klaasen,0,0,0,0,0,0,0,0,0,0,57,66,66,66
Harbhajan Singh,30,114,219,322,430,546,574,691,783,799,828,829,829,833
Harmeet Singh,0,0,0,0,15,18,18,18,18,18,18,18,18,18
Harpreet Brar,0,0,0,0,0,0,0,0,0,0,0,20,20,84
Harpreet Singh,0,0,0,14,20,20,20,20,20,20,20,20,20,20
HF Gurney,0,0,0,0,0,0,0,0,0,0,0,1,1,1
HH Gibbs,167,538,805,805,886,886,886,886,886,886,886,886,886,886
HH Pandya,0,0,0,0,0,0,0,112,156,406,666,1075,1358,1485
HM Amla,0,0,0,0,0,0,0,0,157,577,577,577,577,577
HV Patel,0,0,0,0,15,15,28,47,47,47,107,107,128,187
I Malhotra,0,0,0,7,7,7,7,7,7,7,7,7,7,7
I Sharma,11,27,33,37,37,37,37,37,37,45,45,55,55,55
I Udana,0,0,0,0,0,0,0,0,0,0,0,0,15,15
IC Pandey,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IK Pathan,131,327,603,753,929,1082,1137,1137,1148,1150,1150,1150,1150,1150
Imran Tahir,0,0,0,0,0,0,8,13,18,18,20,20,33,33
Iqbal Abdulla,1,1,1,16,18,26,26,46,83,88,88,88,88,88
IR Jaggi,0,0,0,28,43,43,43,43,43,76,76,76,76,76
IS Sodhi,0,0,0,0,0,0,0,0,0,0,1,7,7,7
Ishan Kishan,0,0,0,0,0,0,0,0,42,319,594,695,1211,1452
J Arunkumar,23,23,23,23,23,23,23,23,23,23,23,23,23,23
J Botha,0,47,47,277,335,378,378,409,409,409,409,409,409,409
J Suchith,0,0,0,0,0,0,0,48,48,48,48,54,54,68
J Syed Mohammad,0,0,0,15,19,29,29,29,29,29,29,29,29,29
J Theron,0,0,2,2,9,9,9,10,10,10,10,10,10,10
J Yadav,0,0,0,0,0,0,0,0,6,6,6,6,6,40
JA Morkel,241,338,537,675,782,828,873,959,975,975,975,975,975,975
JA Richardson,0,0,0,0,0,0,0,0,0,0,0,0,0,15
Jaskaran Singh,0,0,8,8,8,8,8,8,8,8,8,8,8,8
JC Archer,0,0,0,0,0,0,0,0,0,0,15,82,195,195
JC Buttler,0,0,0,0,0,0,0,0,255,528,1076,1387,1715,1969
JD Ryder,0,56,56,348,604,604,604,604,604,604,604,604,604,604
JD Unadkat,0,0,0,0,0,2,3,3,3,5,54,55,64,105
JDP Oram,18,106,106,106,106,106,106,106,106,106,106,106,106,106
JDS Neesham,0,0,0,0,0,0,42,42,42,42,42,42,61,61
JE Taylor,0,0,0,3,3,3,3,3,3,3,3,3,3,3
JEC Franklin,0,0,0,107,327,327,327,327,327,327,327,327,327,327
JH Kallis,199,560,1132,1556,1965,2276,2427,2427,2427,2427,2427,2427,2427,2427
JJ Bumrah,0,0,0,0,0,0,1,1,9,25,35,35,40,56
JJ Roy,0,0,0,0,0,0,0,0,0,59,179,179,179,329
JJ van der Wath,0,0,0,18,18,18,18,18,18,18,18,18,18,18
JL Denly,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JL Pattinson,0,0,0,0,0,0,0,0,0,0,0,0,15,15
JM Bairstow,0,0,0,0,0,0,0,0,0,0,0,445,790,1038
JM Kemp,0,0,26,26,26,26,26,26,26,26,26,26,26,26
JO Holder,0,0,0,0,0,0,16,16,38,38,38,38,104,189
Joginder Sharma,16,36,36,36,36,36,36,36,36,36,36,36,36,36
JP Duminy,0,372,529,734,978,978,1388,1802,1993,1993,2029,2029,2029,2029
JP Faulkner,0,0,0,0,14,71,252,396,473,527,527,527,527,527
JPR Scantlebury-Searles,0,0,0,0,0,0,0,0,0,0,8,8,8,8
JR Hopes,221,221,221,417,417,417,417,417,417,417,417,417,417,417
JR Philippe,0,0,0,0,0,0,0,0,0,0,0,0,78,78
K Goel,76,200,218,218,218,218,218,218,218,218,218,218,218,218
K Gowtham,0,0,0,0,0,0,0,0,0,0,126,144,186,186
K Rabada,0,0,0,0,0,0,0,0,0,55,55,69,125,138
K Upadhyay,0,0,0,0,11,12,12,12,12,12,12,12,12,12
K Yadav,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KA Jamieson,0,0,0,0,0,0,0,0,0,0,0,0,0,65
KA Pollard,0,0,273,419,639,1059,1332,1751,1958,2353,2486,2767,3048,3293
KAJ Roach,0,0,10,10,10,10,10,10,10,10,10,10,10,10
Kamran Akmal,128,128,128,128,128,128,128,128,128,128,128,128,128,128
Kamran Khan,0,3,3,3,3,3,3,3,3,3,3,3,3,3
Karanveer Singh,0,0,0,0,0,0,1,12,12,12,12,12,12,12
Kartik Tyagi,0,0,0,0,0,0,0,0,0,0,0,0,4,6
KB Arun Karthik,0,0,3,10,10,51,51,51,51,51,51,51,51,51
KC Cariappa,0,0,0,0,0,0,0,0,13,15,15,24,24,24
KC Sangakkara,320,652,1009,1367,1567,1687,1687,1687,1687,1687,1687,1687,1687,1687
KD Karthik,145,433,711,993,1231,1741,2066,2207,2542,2903,3401,3655,3824,4047
KH Pandya,0,0,0,0,0,0,0,0,237,480,708,891,1000,1143
KJ Abbott,0,0,0,0,0,0,0,0,13,13,13,13,13,13
KK Ahmed,0,0,0,0,0,0,0,0,0,0,0,0,0,1
KK Cooper,0,0,0,0,38,77,116,116,116,116,116,116,116,116
KK Nair,0,0,0,0,0,9,339,520,877,1158,1459,1464,1480,1480
KL Nagarkoti,0,0,0,0,0,0,0,0,0,0,0,0,22,22
KL Rahul,0,0,0,0,0,20,186,328,725,725,1384,1977,2653,3279
KM Jadhav,0,0,76,94,94,246,395,584,626,893,917,1079,1141,1196
KMA Paul,0,0,0,0,0,0,0,0,0,0,0,18,18,18
KMDN Kulasekara,0,0,0,0,5,5,5,5,5,5,5,5,5,5
KP Appanna,0,0,2,2,2,2,2,2,2,2,2,2,2,2
KP Pietersen,0,93,329,329,634,634,928,928,1001,1001,1001,1001,1001,1001
KS Bharat,0,0,0,0,0,0,0,0,0,0,0,0,0,191
KS Williamson,0,0,0,0,0,0,0,31,155,411,1146,1302,1619,1889
Kuldeep Yadav,0,0,0,0,0,0,0,0,0,20,32,44,57,57
KV Sharma,0,1,1,1,1,86,128,232,268,317,317,317,317,317
KW Richardson,0,0,0,0,0,34,35,35,36,36,36,36,36,36
L Ablish,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L Balaji,0,4,22,26,26,35,36,36,36,36,36,36,36,36
L Ronchi,34,34,34,34,34,34,34,34,34,34,34,34,34,34
LA Carseldine,0,81,81,81,81,81,81,81,81,81,81,81,81,81
LA Pomersbach,152,193,193,244,244,302,302,302,302,302,302,302,302,302
Lalit Yadav,0,0,0,0,0,0,0,0,0,0,0,0,0,68
LE Plunkett,0,0,0,0,0,0,0,0,0,0,1,1,1,1
LH Ferguson,0,0,0,0,0,0,0,0,0,1,1,1,44,62
LJ Wright,0,0,0,0,0,106,106,106,106,106,106,106,106,106
LMP Simmons,0,0,0,0,0,0,394,934,942,1079,1079,1079,1079,1079
LPC Silva,40,40,40,40,40,40,40,40,40,40,40,40,40,40
LR Shukla,163,246,282,296,371,374,405,405,405,405,405,405,405,405
LRPL Taylor,149,429,517,698,895,958,1017,1017,1017,1017,1017,1017,1017,1017
LS Livingstone,0,0,0,0,0,0,0,0,0,0,0,70,70,112
M Ashwin,0,0,0,0,0,0,0,0,0,0,1,4,8,23
M de Lange,0,0,0,0,0,0,1,1,1,1,1,1,1,1
M Jansen,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M Kaif,176,176,204,245,259,259,259,259,259,259,259,259,259,259
M Kartik,30,51,73,85,111,113,113,113,113,113,113,113,113,113
M Klinger,0,0,0,73,73,73,73,73,73,73,73,73,73,73
M Manhas,0,75,232,346,466,479,514,514,514,514,514,514,514,514
M Markande,0,0,0,0,0,0,0,0,0,0,21,27,27,27
M Morkel,0,8,17,57,60,117,121,125,126,126,126,126,126,126
M Muralitharan,0,8,9,14,20,20,20,20,20,20,20,20,20,20
M Ntini,11,11,11,11,11,11,11,11,11,11,11,11,11,11
M Prasidh Krishna,0,0,0,0,0,0,0,0,0,0,1,1,3,3
M Rawat,34,50,50,50,50,55,55,55,55,55,55,55,55,55
M Shahrukh Khan,0,0,0,0,0,0,0,0,0,0,0,0,0,153
M Vijay,0,60,518,952,1288,1600,1807,2058,2511,2511,2523,2587,2619,2619
M Vohra,0,0,0,0,0,161,485,567,728,957,1012,1012,1012,1054
MA Agarwal,0,0,0,141,366,433,548,761,788,814,934,1266,1698,2139
MA Khote,24,24,24,24,24,24,24,24,24,24,24,24,24,24
MA Starc,0,0,0,0,0,0,85,96,96,96,96,96,96,96
MA Wood,0,0,0,0,0,0,0,0,0,0,1,1,1,1
Mandeep Singh,0,0,4,51,483,743,767,924,924,1112,1364,1529,1659,1674
Mashrafe Mortaza,0,2,2,2,2,2,2,2,2,2,2,2,2,2
MC Henriques,0,38,49,49,49,214,223,510,692,969,969,969,969,1000
MC Juneja,0,0,0,0,0,125,125,125,125,125,125,125,125,125
MD Mishra,0,0,166,233,237,237,237,237,237,237,237,237,237,237
MDKJ Perera,0,0,0,0,0,14,14,14,14,14,14,14,14,14
MEK Hussey,168,168,205,697,958,1691,1900,1977,1977,1977,1977,1977,1977,1977
MF Maharoof,125,146,177,177,177,177,177,177,177,177,177,177,177,177
MG Johnson,0,0,0,0,0,39,95,126,131,151,167,167,167,167
Misbah-ul-Haq,117,117,117,117,117,117,117,117,117,117,117,117,117,117
MJ Clarke,0,0,0,0,98,98,98,98,98,98,98,98,98,98
MJ Guptill,0,0,0,0,0,0,0,0,57,189,189,271,271,271
MJ Lumb,0,0,278,278,278,278,278,278,278,278,278,278,278,278
MJ McClenaghan,0,0,0,0,0,0,0,13,47,63,74,85,85,85
MJ Santner,0,0,0,0,0,0,0,0,0,0,0,32,32,32
MK Lomror,0,0,0,0,0,0,0,0,0,0,20,28,87,181
MK Pandey,3,171,420,666,809,945,1354,1579,1827,2223,2507,2852,3277,3569
MK Tiwary,104,113,350,709,969,1115,1267,1324,1324,1648,1695,1695,1695,1695
ML Hayden,189,761,1107,1107,1107,1107,1107,1107,1107,1107,1107,1107,1107,1107
MM Ali,0,0,0,0,0,0,0,0,0,0,77,297,309,666
MM Patel,0,33,37,37,39,39,39,39,39,39,39,39,39,39
MM Sharma,0,0,0,0,0,0,1,29,61,112,122,122,122,122
MN Samuels,0,0,0,0,124,132,132,132,132,161,161,161,161,161
MN van Wyk,0,167,167,167,167,167,167,167,167,167,167,167,167,167
Mohammad Ashraful,0,2,2,2,2,2,2,2,2,2,2,2,2,2
Mohammad Asif,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Mohammad Hafeez,64,64,64,64,64,64,64,64,64,64,64,64,64,64
Mohammad Nabi,0,0,0,0,0,0,0,0,0,2,20,141,152,186
Mohammed Shami,0,0,0,0,0,5,8,8,10,46,53,54,56,69
Mohammed Siraj,0,0,0,0,0,0,0,0,0,0,25,29,46,66
MP Stoinis,0,0,0,0,0,0,0,0,146,163,262,473,825,914
MR Marsh,0,0,28,78,78,218,218,218,225,225,225,225,225,225
MS Bisla,0,0,218,290,503,758,761,798,798,798,798,798,798,798
MS Dhoni,414,746,1033,1425,1783,2244,2615,2987,3271,3561,4016,4432,4632,4746
MS Gony,35,48,50,50,54,99,99,99,99,99,99,99,99,99
MS Wade,0,0,0,22,22,22,22,22,22,22,22,22,22,22
Mujeeb Ur Rahman,0,0,0,0,0,0,0,0,0,0,10,10,11,12
Mustafizur Rahman,0,0,0,0,0,0,0,0,0,0,1,1,1,9
MV Boucher,225,375,388,394,394,394,394,394,394,394,394,394,394,394
N Jagadeesan,0,0,0,0,0,0,0,0,0,0,0,0,33,33
N Pooran,0,0,0,0,0,0,0,0,0,0,0,168,521,606
N Rana,0,0,0,0,0,0,0,0,104,437,741,1085,1437,1820
N Saini,0,0,0,0,140,140,140,140,140,140,140,140,140,140
NA Saini,0,0,0,0,0,0,0,0,0,0,0,2,29,31
ND Doshi,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Niraj Patel,103,121,121,121,121,121,121,121,121,121,121,121,121,121
NJ Maddinson,0,0,0,0,0,0,16,20,20,20,20,20,20,20
NJ Rimmington,0,0,0,1,1,1,1,1,1,1,1,1,1,1
NL McCullum,0,0,0,26,26,26,26,26,26,26,26,26,26,26
NLTC Perera,0,0,0,23,27,262,262,274,424,424,424,424,424,424
NM Coulter-Nile,0,0,0,0,0,9,9,29,38,52,52,52,77,81
NS Naik,0,0,0,0,0,0,0,0,23,23,23,30,31,31
NT Ellis,0,0,0,0,0,0,0,0,0,0,0,0,0,18
NV Ojha,0,168,545,705,960,969,1201,1338,1474,1553,1554,1554,1554,1554
OA Shah,0,0,115,141,481,506,506,506,506,506,506,506,506,506
P Awana,0,0,0,0,4,5,5,5,5,5,5,5,5,5
P Chopra,0,0,0,0,0,0,0,0,0,0,8,8,8,8
P Dogra,0,0,107,107,122,127,127,127,127,127,127,127,127,127
P Dubey,0,0,0,0,0,0,0,0,0,0,0,0,7,7
P Kumar,112,177,181,208,243,290,291,308,332,340,340,340,340,340
P Negi,0,0,0,0,36,36,36,152,209,353,356,365,365,365
P Parameswaran,0,0,0,1,1,1,1,1,1,1,1,1,1,1
P Ray Barman,0,0,0,0,0,0,0,0,0,0,0,19,19,19
P Sahu,0,0,0,0,0,0,0,0,19,19,19,19,19,19
P Simran Singh,0,0,0,0,0,0,0,0,0,0,0,16,31,50
PA Patel,302,444,516,718,912,1206,1411,1750,1927,2322,2475,2848,2848,2848
PA Reddy,0,0,0,0,73,164,164,164,164,164,164,164,164,164
Pankaj Singh,5,6,7,7,7,7,7,7,7,7,7,7,7,7
Parvez Rasool,0,0,0,0,0,5,5,7,17,17,17,17,17,17
PC Valthaty,0,6,6,469,499,505,505,505,505,505,505,505,505,505
PD Collingwood,0,0,203,203,203,203,203,203,203,203,203,203,203,203
PJ Cummins,0,0,0,0,0,0,0,0,0,77,77,77,223,316
PJ Sangwan,2,8,18,18,18,22,22,22,22,24,24,24,24,24
PK Garg,0,0,0,0,0,0,0,0,0,0,0,0,133,205
PM Sarvesh Kumar,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PP Chawla,90,121,183,231,337,401,432,486,513,515,542,584,584,584
PP Ojha,2,3,6,6,10,12,16,16,16,16,16,16,16,16
PP Shaw,0,0,0,0,0,0,0,0,0,0,245,598,826,1305
PR Shah,34,87,87,92,92,92,92,92,92,92,92,92,92,92
PSP Handscomb,0,0,0,0,0,0,0,0,6,6,6,6,6,6
PV Tambe,0,0,0,0,0,3,8,11,18,18,18,18,18,18
PWH de Silva,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Q de Kock,0,0,0,0,0,6,159,281,726,726,927,1456,1962,2259
R Ashwin,0,8,38,40,58,93,138,190,231,231,333,375,412,456
R Bhatia,34,42,66,91,126,225,292,292,326,342,342,342,342,342
R Bishnoi,0,19,19,19,19,19,19,19,19,19,19,19,19,19
R Dhawan,0,0,0,0,0,21,103,139,153,153,153,153,153,153
